Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.96,,26.5,-16.236666666666668,25.0,390.00666666666666,27.67,,,,578.0,9.5,,1.0,,5.8,,0.15333333333333335,0.0,0.0,85.0,4724.205,85.1,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,26.0,90,8
1,0.9600000000000001,,26.5,-14.495555555555557,25.0,390.1544444444445,27.67,,,,578.0,9.504444444444443,,1.0,,5.533333333333333,,0.16666666666666666,0.0,0.0,85.0,3953.312222222222,85.1,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,26.0,90,8
2,0.9236363636363637,,26.5,-11.90090909090909,25.0,390.32727272727277,27.67,,,,578.0,9.828181818181818,,1.0,,5.32,,0.1527272727272727,0.09,0.0,85.0,2906.0272727272727,85.1,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,26.0,90,8
3,0.9200000000000002,,26.5,-9.172222222222222,25.0,390.5155555555555,27.67,,,,578.0,10.004444444444443,,1.0,,5.32,,0.10888888888888888,0.6466666666666666,0.0,85.0,1853.2688888888888,85.1,,,,,,,,,,,,,,,,,,0.2688888888888889,0.005555555555555556,100.0,26.0,90,8
4,0.92,,26.5,-6.6909090909090905,25.0,390.67454545454547,27.67,,,,578.0,10.34,,1.0,,5.32,,-0.003636363636363635,10.760909090909092,0.0,85.0,800.7845454545455,85.1,,,,,,,,,,,,,,,,,,5.333636363636364,0.23090909090909092,100.0,26.0,90,8
5,0.9200000000000002,,26.5,-4.368888888888889,25.0,390.83444444444444,27.67,,,,578.0,10.84,,1.0,,5.32,,-0.021111111111111112,8.976666666666667,0.0,85.0,32.23555555555556,85.07,,,,,,,,,,,,,,,,,,3.4533333333333336,1.0866666666666667,100.0,26.0,90,8
6,0.92,,26.5,-3.7509090909090905,25.0,390.9,27.67,,,,578.0,11.34,,1.0,,5.32,,0.14545454545454548,-1.16,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,3.855454545454546,1.5136363636363634,100.0,26.0,90,8
7,0.9200000000000002,,26.5,-3.768888888888889,25.0,390.9,27.67,,,,578.0,11.84,,1.0,,5.32,,0.15222222222222223,-2.312222222222222,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,3.138888888888889,1.6011111111111112,100.0,26.0,90,8
8,0.889090909090909,,26.5,-3.7490909090909095,25.0,390.9,27.67,,,,578.0,12.32818181818182,,1.0,,5.32,,0.1290909090909091,1.5427272727272727,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,6.566363636363636,1.7036363636363638,100.0,26.0,90,8
9,0.8488888888888888,,26.5,-3.6399999999999997,25.0,390.9,27.67,,,,578.0,12.504444444444443,,1.0,,5.32,,0.14444444444444446,-0.09777777777777778,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,2.7466666666666666,1.8844444444444446,100.0,26.0,90,8
10,0.84,,26.5,-3.6381818181818177,25.0,390.9,27.67,,,,578.0,12.840000000000002,,1.0,,5.32,,0.1990909090909091,-4.0627272727272725,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,4.055454545454546,1.7554545454545454,100.0,26.0,90,8
11,0.84,,26.5,-3.6077777777777778,25.0,390.9566666666667,27.66888888888889,,,,578.0,13.34,,1.0,,5.32,,0.13555555555555554,-0.14111111111111108,0.0,85.0,0.0,84.9,,,,,,,,,,,,,,,,,,4.226666666666667,1.891111111111111,100.0,26.0,90,8
12,0.8127272727272726,,26.5,-3.872727272727273,25.0,390.9445454545455,27.561818181818182,,,,578.0,13.82818181818182,,1.0,,5.32,,0.3018181818181818,-10.537272727272727,0.0,85.0,0.0,84.9,,,,,,,,,,,,,,,,,,1.6027272727272726,1.7163636363636363,100.0,26.0,90,8
13,0.79,,26.5,-4.628888888888889,25.0,390.9,27.51,,,,578.0,14.004444444444443,,1.0,,5.32,,0.28777777777777774,-4.735555555555556,0.0,85.0,0.0,84.9,,,,,,,,,,,,,,,,,,6.576666666666666,1.0711111111111111,100.0,26.0,90,8
14,0.7754545454545455,,26.5,-6.24,25.0,390.78909090909093,27.51,,,,578.0,14.32818181818182,,1.0,,5.32,,-0.33,38.445454545454545,0.0,85.0,0.0,84.9,,,,,,,,,,,,,,,,,,24.05818181818182,1.5409090909090908,100.0,26.0,90,8
15,0.7622222222222222,,26.5,-5.792222222222223,25.0,390.80333333333334,27.51,,,,578.0,14.504444444444443,,1.0,,5.32,,-0.23222222222222222,26.854444444444443,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,7.437777777777778,3.6133333333333337,100.0,26.0,90,8
16,0.7599999999999999,,26.5,-3.3490909090909096,25.0,391.0,27.51,,,,578.0,14.82818181818182,,1.0,,5.32,,0.9090909090909091,-7.721818181818182,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,0.0,2.87,100.0,26.0,90,8
17,0.7533333333333334,,26.5,-3.464444444444444,25.0,391.0,27.51,,,,578.0,15.004444444444443,,1.0,,5.32,,0.22444444444444445,-4.029999999999999,0.0,85.0,0.0,85.0,,,,,,,,,,,,,,,,,,0.0,0.5188888888888888,100.0,26.0,90,8
