Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,,17.0,-1.0,19.0,392.4523733333333,17.0034,,,,523.0,15.5,,1.0,,0.0,,0.17427,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
1,0.0,,17.0,-0.9591266666666667,19.0,392.42220555555554,17.0034,,,,523.0,15.5,,1.0,,0.0,,0.1890211111111111,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
2,0.0,,17.0,-1.0152736363636363,19.0,392.4,17.0034,,,,523.0,15.5,,1.0,,0.0,,0.18051272727272727,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
3,0.0,,17.0,-0.9368888888888889,19.0,392.4,17.0034,,,,523.0,15.5,,1.0,,0.0,,0.18972666666666668,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
4,0.0,,17.0,-0.9789127272727272,19.0,392.4181809090909,17.0034,,,,523.0,15.5,,1.0,,0.0,,0.19138,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
5,0.0,,17.0,-0.9777777777777779,19.0,392.4408933333333,17.057360000000003,,,,523.0,15.5,,1.0,,0.0,,0.18240555555555557,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
6,0.0,,17.0,-0.9818181818181819,19.0,392.40289545454544,17.16598272727273,,,,523.0,15.5,,1.0,,0.0,,0.18592363636363637,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
7,0.0,,17.0,-0.99194,19.0,392.42222,17.1701,,,,523.0,15.5,,1.0,,0.0,,0.18457111111111113,0.0,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
8,0.0,,17.0,-1.5451145454545454,19.0,392.39214090909087,17.226603636363635,,,,523.0,15.5,,1.0,,0.0,,0.18539818181818182,0.03777272727272727,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,19.0,89.5,8
9,0.0,,17.0,-2.66967,19.0,392.2792977777778,17.33521222222222,,,,523.0,15.5,,1.0,,0.0,,0.3929722222222222,12.879192222222223,0.0,85.0,0.0,87.3,,,,,,,,,,,,,,,,,,12.563017777777779,0.015865555555555556,100.0,19.0,89.5,8
