Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0.0,1.04,,22.5,-4.7,18.0,385.1,39.84,,,,551.0,13.5,,0,,0.0,,-0.11,0.0,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,0.64,79.0,19.0,89.5,8
0.1,1.04,,22.5,-4.7,18.0,385.1,39.84,,,,551.0,13.5,,0,,0.0,,-0.11,-3.01,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,0.69,79.0,19.0,89.5,8
0.2,1.04,,22.5,-4.66,18.0,385.1,39.84,,,,551.0,13.5,,0,,0.0,,-0.13,-2.99,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,0.8,79.0,19.0,89.5,8
0.3,1.04,,22.5,-4.61,18.0,385.1,39.84,,,,551.0,13.5,,0,,0.0,,-0.15,-3.01,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,0.9,79.0,19.0,89.5,8
0.4,1.03,,22.5,-4.64,18.0,385.1,39.84,,,,551.0,13.5,,0,,0.0,,-0.12,-4.51,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,0.92,79.0,19.0,89.5,8
0.5,1.03,,22.5,-4.69,18.0,385.1,39.84,,,,551.0,13.5,,0,,0.0,,-0.03,-5.5,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,1.07,79.0,19.0,89.5,8
0.6,1.02,,22.5,-4.7,18.0,385.1,39.84,,,,551.0,13.5,,0,,0.0,,0.02,-6.99,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,1.12,79.0,19.0,89.5,8
0.7,1.02,,22.5,-4.7,18.0,385.1,39.84,,,,551.0,13.47,,0,,0.0,,0.03,-7.99,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,1.16,79.0,19.0,89.5,8
0.8,1.01,,22.5,-4.7,18.0,385.1,39.84,,,,551.0,13.42,,0,,0.0,,0.11,-8.51,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,1.17,79.0,19.0,89.5,8
0.9,1.01,,22.5,-4.7,18.0,385.1,39.84,,,,551.0,13.37,,0,,0.0,,0.24,-9.01,0.0,,0,71.3,,,,,,,,,,,,,,,,,,0.0,1.16,79.0,19.0,89.5,8
