Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,10.153333333333334,9.0,-1.625,12.0,372.1000000000001,13.17,11.0,12.0,-0.305,462.0,11.0,0.0,1.0,374.0,0.0,0.0,-0.34,0.0,0.0,85.0,0.0,45.1,11.055,11.479999999999999,12.089999999999998,12.089999999999998,12.089999999999998,11.75,11.479999999999999,11.13,11.22,10.86,11.479999999999999,13.015,14.256666666666666,12.01,11.660000000000002,11.733333333333334,11.383333333333333,11.479999999999999,0.0,0.0,53.0,13.0,89,8
1,0.0,10.107777777777777,9.0,-1.6111111111111112,12.0,372.1,13.17,11.0,12.0,-0.21222222222222223,462.0,11.0,0.0,1.0,374.31111111111113,0.0,0.0,-0.35777777777777775,0.0,0.0,85.0,0.0,45.1,11.117777777777778,11.47888888888889,12.09,12.09,12.09,11.75,11.48,11.13,11.22,10.802222222222222,11.48,12.895555555555555,14.207777777777778,12.006666666666668,11.653333333333332,11.674444444444443,11.325555555555557,11.48,0.0,0.0,53.0,13.0,89,8
2,0.0,10.15,9.0,-1.6154545454545455,12.0,372.1,13.17,11.0,12.0,-0.24181818181818182,462.0,11.0,0.0,1.0,374.6545454545454,0.0,0.0,-0.34454545454545454,0.0,0.0,85.0,0.0,45.1,11.265454545454546,11.423636363636364,12.090000000000002,12.103636363636362,12.090000000000002,11.75,11.48,11.13,11.22,10.79,11.492727272727272,12.795454545454545,14.264545454545454,11.943636363636363,11.596363636363636,11.659999999999998,11.31,11.48,0.0,0.0,53.0,13.0,89,8
3,0.0,10.107777777777777,9.0,-1.577777777777778,12.0,372.1,13.17,11.0,12.0,-0.2588888888888889,462.0,11.0,0.0,1.0,374.22222222222223,0.0,0.0,-0.3522222222222222,0.0,0.0,85.0,0.0,45.1,11.376666666666667,11.461111111111112,12.09,12.162222222222223,12.09,11.75,11.48,11.13,11.213333333333333,10.79,11.552222222222222,12.733333333333334,14.279999999999998,11.916666666666666,11.636666666666667,11.66,11.31,11.48,0.0,0.0,53.0,13.0,89,8
4,0.0,10.15,9.0,-1.5954545454545455,12.0,372.1,13.17,11.0,12.0,-0.2290909090909091,462.0,11.0,0.0,1.0,374.19545454545454,0.0,0.0,-0.3618181818181818,0.0,0.0,85.0,0.0,45.1,11.464545454545455,11.485454545454546,12.090000000000002,12.106363636363636,12.090000000000002,11.75,11.48,11.13,11.146363636363636,10.79,11.495454545454546,12.852727272727272,14.28,11.852727272727272,11.596363636363636,11.659999999999998,11.317272727272728,11.48,0.0,0.0,53.0,13.0,89,8
5,0.0,10.101111111111111,9.0,-1.568888888888889,12.0,372.1,13.17,11.0,12.0,-0.18333333333333332,462.0,11.0,0.0,1.0,374.2055555555555,0.0,0.0,-0.35333333333333333,0.0,0.0,85.0,0.0,45.1,11.54888888888889,11.54888888888889,12.09,12.09,12.09,11.75,11.48,11.126666666666667,11.13,10.79,11.48,12.872222222222222,14.286666666666665,11.768888888888888,11.643333333333334,11.66,11.376666666666667,11.48,0.0,0.0,53.0,13.0,89,8
6,0.0,10.09909090909091,9.0,-1.579090909090909,12.0,372.1,13.17,11.345454545454546,12.0,-0.1990909090909091,462.0,11.0,0.0,1.0,374.0,0.0,0.0,-0.3427272727272727,0.0,0.0,85.0,0.0,45.1,11.575454545454546,11.575454545454546,12.090000000000002,12.103636363636362,12.090000000000002,11.75,11.48,11.07090909090909,11.143636363636364,10.79,11.48,12.816363636363638,14.360909090909091,11.75,11.659999999999998,11.659999999999998,11.327272727272726,11.492727272727272,0.0,0.0,53.0,13.0,89,8
7,0.0,10.161111111111111,9.0,-1.577777777777778,12.0,372.1,13.17,12.0,12.0,-0.2744444444444445,462.0,11.0,0.0,1.0,374.0,0.0,0.0,-0.37555555555555553,0.0,0.0,85.0,0.0,45.1,11.636666666666667,11.636666666666667,12.09,12.168888888888889,12.09,11.738888888888889,11.48,11.114444444444445,11.202222222222222,10.79,11.48,12.885555555555555,14.43222222222222,11.75,11.66,11.66,11.31,11.552222222222222,0.0,0.0,53.0,13.0,89,8
8,0.0,10.16090909090909,9.0,-1.620909090909091,12.0,372.1,13.17,12.0,12.0,-0.30727272727272725,462.0,11.0,0.0,1.0,374.15,0.0,0.0,-0.3590909090909091,0.0,0.0,85.0,0.0,45.1,11.654545454545454,11.659999999999998,12.090000000000002,12.17090909090909,12.090000000000002,11.681818181818182,11.48,11.065454545454545,11.146363636363636,10.78090909090909,11.48,13.025454545454545,14.375454545454545,11.75,11.65090909090909,11.659999999999998,11.31,11.495454545454546,0.0,0.0,53.0,13.0,89,8
9,0.0,10.101111111111111,9.0,-2.0444444444444443,12.0,372.0055555555556,13.17,12.0,12.0,-0.21222222222222223,462.0,11.0,0.0,1.0,374.0388888888889,0.0,0.0,-0.3433333333333333,0.0,0.0,85.0,0.0,45.1,11.593333333333334,11.66,12.09,12.104444444444445,12.096666666666668,11.735555555555557,11.486666666666666,11.05,11.13,10.714444444444446,11.48,13.043333333333333,14.371111111111112,11.75,11.593333333333334,11.66,11.31,11.48,0.0,0.0,53.0,13.0,89,8
