Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,4.24,3.5,-3.668333333333333,5.0,361.9266666666667,23.5,50.0,50.0,-0.12166666666666666,476.0,39.5,2.0283333333333333,1.0,365.0,0.7200000000000001,737.8633333333333,-0.17666666666666667,0.0,0.0,85.0,850.465,34.4,48.23,49.63,32.08,33.39,32.87,28.94,29.2,39.15,38.72,21.350000000000005,15.24,18.38,20.04,48.32,29.459999999999997,29.11,29.11,26.850000000000005,0.0,0.0,34.5,6.0,88.5,8.0
1,0.0,4.24,3.5,-4.123333333333333,5.0,361.80222222222227,23.5,50.0,50.0,-0.2588888888888889,476.0,39.5,2.8333333333333335,1.0,364.6466666666667,0.8,1034.91,-0.19444444444444445,0.0,0.0,85.0,1076.4266666666667,34.4,48.21111111111111,49.60888888888889,32.08,33.419999999999995,32.845555555555556,28.96888888888889,29.200000000000003,39.15,38.72,21.301111111111112,15.323333333333332,18.40777777777778,20.04,48.29888888888889,29.439999999999998,29.11,29.13666666666667,26.85,0.0,0.0,34.5,6.0,88.5,8.0
2,0.0,4.2690909090909095,3.5,-4.303636363636364,5.0,361.8,23.5,50.0,50.0,-0.17727272727272728,476.0,39.5,3.0,1.0,364.53,1.08,1072.4199999999998,-0.18454545454545457,0.0,0.0,85.0,1080.0,34.4,48.14636363636364,49.54545454545455,32.08,33.446363636363635,32.808181818181815,28.995454545454546,29.2,39.126363636363635,38.68545454545455,21.204545454545453,15.55181818181818,18.433636363636364,20.008181818181818,48.21454545454546,29.38272727272727,29.11,29.19727272727273,26.85,0.0,0.0,34.5,6.0,88.5,8.0
3,0.0,4.328888888888889,3.5,-4.178888888888888,5.0,361.8,23.5,50.0,50.0,-0.15,476.0,39.5,3.0,1.0,364.59222222222223,1.08,1067.0422222222223,-0.19666666666666666,0.0,0.0,85.0,1080.0,34.4,48.123333333333335,49.54,32.08,33.39111111111111,32.86666666666666,28.970000000000002,29.200000000000003,39.06333333333333,38.63111111111111,21.25777777777778,15.66888888888889,18.323333333333334,19.922222222222224,48.144444444444446,29.380000000000003,29.11,29.200000000000003,26.816666666666666,0.0,0.0,34.5,6.0,88.5,8.0
4,0.0,4.357272727272727,3.5,-4.283636363636364,5.0,361.83454545454543,23.5,50.0,50.0,-0.15,476.0,39.5,3.0,1.0,364.8181818181818,1.08,1076.3636363636363,-0.1918181818181818,0.0,0.0,85.0,1080.0,34.4,48.058181818181815,49.53999999999999,32.08,33.39,32.87,28.995454545454546,29.2,39.03909090909091,38.63,21.26,15.702727272727271,18.11909090909091,19.862727272727273,48.13999999999999,29.38,29.08909090909091,29.2,26.76090909090909,0.0,0.0,34.32,6.0,88.5,8.0
5,0.0,4.384444444444444,3.5,-4.305555555555555,5.0,361.84666666666664,23.5,50.0,50.0,-0.15,476.0,39.5,3.0,1.0,364.77777777777777,1.08,1077.4044444444444,-0.20111111111111113,0.0,0.0,85.0,1080.0,34.4,48.034444444444446,49.54,32.08,33.36222222222222,32.845555555555556,28.941111111111113,29.200000000000003,38.95666666666667,38.57,21.236666666666665,15.729999999999999,17.942222222222224,19.891111111111112,48.123333333333335,29.354444444444443,29.031111111111116,29.17777777777778,26.76,0.0,0.0,34.0,6.0,88.5,8.0
6,0.0,4.330909090909091,3.5,-4.879090909090909,5.0,361.8172727272727,23.5,50.0,50.0,-0.14272727272727273,476.0,39.5,3.0,1.0,364.78818181818184,1.08,1071.5172727272727,-0.1390909090909091,0.3527272727272727,0.0,85.0,1080.0,34.4,47.97545454545455,49.53999999999999,32.057272727272725,33.302727272727275,32.808181818181815,28.94,29.2,38.86909090909091,38.42727272727273,21.150909090909092,15.672727272727274,18.002727272727274,19.977272727272727,48.058181818181815,29.29272727272727,29.030000000000005,29.115454545454543,26.76,1.1736363636363636,0.0,34.0,6.0,88.5,8.0
7,0.0,4.355555555555556,3.5,-7.766666666666666,5.0,361.3577777777778,23.5,50.0,50.0,-0.09333333333333332,476.0,39.5,3.0,1.0,364.0188888888889,1.08,1079.63,0.42666666666666664,34.45333333333333,0.0,85.0,1080.0,34.4,47.95,49.54,31.993333333333332,33.33222222222222,32.84222222222222,28.940000000000005,29.200000000000003,38.80333333333333,38.31,21.064444444444444,15.702222222222222,18.173333333333332,20.038888888888888,48.034444444444446,29.290000000000003,29.005555555555556,29.11,26.76,21.833333333333332,0.7466666666666666,34.0,6.0,88.5,8.0
8,0.0,4.381818181818182,3.5,-15.316363636363635,5.0,360.1736363636364,23.5,50.0,50.0,-0.13818181818181818,476.0,39.39181818181818,3.0,1.0,362.5163636363637,1.08,1080.0,0.9836363636363636,72.94272727272727,0.0,85.0,1080.0,34.4,47.86545454545455,49.53999999999999,31.99,33.35909090909091,32.78363636363636,28.94,29.176363636363636,38.82636363636363,38.22545454545455,21.025454545454547,15.727272727272727,18.257272727272728,20.04,47.99454545454546,29.264545454545452,28.94363636363636,29.08909090909091,26.76,28.639090909090907,4.664545454545455,34.0,6.0,88.5,8.0
9,0.0,4.355555555555556,3.5,-26.743333333333332,5.0,358.4244444444444,23.5,50.0,50.0,-0.15,476.0,39.02666666666667,2.9122222222222223,1.0,361.0422222222222,1.08,1033.4877777777776,1.3444444444444443,81.55888888888889,0.0,85.0,997.5922222222222,34.4,47.794444444444444,49.54,31.989999999999995,33.333333333333336,32.78,28.940000000000005,29.11333333333333,38.88777777777778,38.278888888888886,21.078888888888887,15.906666666666666,18.176666666666666,20.008888888888887,48.04666666666666,29.203333333333333,28.940000000000005,29.052222222222227,26.72888888888889,42.05,9.545555555555556,34.0,6.0,88.5,8.0
