Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,3.3699999999999997,3.5,-4.781666666666667,13.0,371.06666666666666,25.01,51.0,49.0,-0.08,476.0,41.5,3.25,1.0,374.0,1.16,1200.0,-0.20166666666666666,0.0,0.0,85.0,1200.0,52.8,47.35999999999999,49.873333333333335,35.943333333333335,36.01,34.88,33.04,33.92,42.07,40.9,26.255,21.61,21.0,22.48,47.71,33.57,32.87,32.87,30.86,0.0,0.0,59.0,14.0,88.5,8
1,0.0,3.37,3.433333333333333,-4.311111111111112,13.0,371.08000000000004,25.01,51.0,49.0,-0.12111111111111111,476.0,41.5,3.25,1.0,374.0,1.16,1200.0,-0.21444444444444444,0.0,0.0,85.0,1200.0,52.8,47.36555555555556,49.82,35.99888888888889,36.01,34.88,33.028888888888886,33.92,42.17444444444445,40.9,26.308888888888887,21.595555555555553,21.0,22.493333333333332,47.70111111111111,33.57666666666667,32.87,32.87,30.84777777777778,0.0,0.0,59.0,14.0,88.5,8
2,0.0,3.37,3.059090909090909,-4.533636363636363,13.0,371.08,25.01,51.0,49.0,-0.15181818181818182,476.0,41.5,3.25,1.0,374.0,1.16,1200.0,-0.20181818181818179,0.0,0.0,85.0,1200.0,52.8,47.42636363636363,49.86363636363637,36.01,36.01,34.88,32.98,33.92,42.11181818181819,40.9,26.33181818181818,21.515454545454546,21.0,22.59090909090909,47.63363636363636,33.62909090909091,32.87,32.87,30.810909090909092,0.0,0.0,59.0,14.0,88.5,8
3,0.0,3.37,3.0,-4.470000000000001,13.0,371.1,25.01,51.0,49.0,-0.24222222222222223,476.0,41.5,3.25,1.0,374.0,1.16,1200.0,-0.2222222222222222,0.0,0.0,85.0,1200.0,52.8,47.43444444444444,49.806666666666665,36.00111111111111,36.01,34.88,33.03333333333333,33.92,41.94888888888889,40.885555555555555,26.39888888888889,21.438888888888886,20.973333333333333,22.743333333333332,47.61333333333333,33.58555555555555,32.87,32.86,30.92,0.0,0.0,59.0,14.0,88.5,8
4,0.0,3.37,3.0,-4.734545454545454,13.0,371.09000000000003,25.01,50.843636363636364,49.0,-0.21636363636363634,476.0,41.5,3.25,1.0,373.99,1.16,1200.0,-0.08636363636363636,2.0154545454545456,0.0,85.0,1200.0,52.8,47.373636363636365,49.72727272727273,35.92454545454546,36.01,34.88,33.04,33.906363636363636,41.78727272727272,40.74363636363636,26.388181818181817,21.447272727272725,20.856363636363636,22.820909090909087,47.54545454545455,33.62909090909091,32.87,32.79363636363637,30.854545454545452,4.672727272727273,0.012727272727272728,59.0,14.0,88.5,8
5,0.0,3.37,3.0,-8.47,13.0,370.7266666666667,25.01,50.0,49.0,-0.24222222222222223,476.0,41.5,3.25,1.0,373.0433333333333,1.16,1200.0,0.6055555555555556,46.852222222222224,0.0,85.0,1200.0,52.8,47.352222222222224,49.70333333333333,35.84888888888889,36.01,34.88,33.028888888888886,33.84111111111111,41.68555555555556,40.382222222222225,26.247777777777777,21.513333333333335,20.89111111111111,22.817777777777778,47.53,33.57888888888889,32.85222222222222,32.763333333333335,30.77777777777778,22.685555555555553,1.4922222222222221,59.0,14.0,88.5,8
6,0.0,3.37,3.0,-14.768181818181818,13.0,370.1009090909091,25.01,50.0,49.0,-0.30818181818181817,476.0,41.5,3.255454545454546,1.0,373.0,1.16,1204.7436363636364,0.91,63.00181818181818,0.0,85.0,1253.5454545454545,52.8,47.29363636363637,49.64363636363637,35.84,35.99545454545454,34.88,32.96181818181819,33.83,41.6109090909091,40.21727272727273,26.170909090909092,21.596363636363638,20.846363636363638,22.720909090909092,47.53,33.57,32.71909090909091,32.6109090909091,30.756363636363634,27.814545454545453,5.47,59.0,14.0,88.5,8
7,0.0,3.37,3.0,-23.12222222222222,13.0,369.2344444444445,25.01,50.0,49.0,-0.21333333333333332,476.0,41.5,4.1033333333333335,1.0,371.87111111111113,1.16,1507.5,1.0633333333333335,66.5911111111111,0.0,85.0,1560.0,52.72,47.33666666666667,49.62111111111111,35.82888888888889,35.94222222222223,34.88,32.95,33.82,41.58888888888889,40.18666666666667,26.214444444444446,21.986666666666665,20.915555555555557,22.556666666666665,47.52333333333334,33.55888888888889,32.68333333333333,32.45333333333333,30.695555555555554,41.19111111111111,9.385555555555555,59.0,14.0,88.5,8
8,0.0,3.37,3.0,-41.412727272727274,13.0,367.3627272727273,25.01,50.0,49.0,-0.19727272727272727,476.0,41.5,4.25,1.0,369.66181818181815,1.5072727272727275,1556.361818181818,1.4963636363636363,97.78181818181817,0.0,85.0,1560.0,52.7,47.28454545454545,49.553636363636365,35.76272727272727,35.98636363636364,34.88,32.95,33.75363636363637,41.52272727272727,40.11909090909091,26.16181818181818,22.40909090909091,20.959090909090907,22.41,47.45090909090909,33.49272727272727,32.62090909090909,32.43,30.671818181818182,43.86363636363637,14.848181818181816,59.0,14.0,88.5,8
9,0.0,3.37,3.0,-12.325555555555557,13.0,370.0,25.01,50.0,49.0,-0.18333333333333332,476.0,41.5,4.25,1.0,371.9977777777778,1.5355555555555556,1560.0,-0.6277777777777778,15.497777777777777,0.0,85.0,1560.0,52.7,47.27,49.54,35.75,35.92777777777778,34.88,32.95,33.74,41.51,40.11,26.165555555555557,22.754444444444445,20.824444444444442,22.405555555555555,47.371111111111105,33.48,32.61,32.43,30.60666666666667,7.543333333333333,18.677777777777777,59.0,14.0,88.5,8
