Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,1.1,1.5,-17.78833333333333,7.0,374.6000000000001,10.0,5.0,6.0,-0.38000000000000006,514.0,5.0,16.135,1.0,376.0,6.213333333333334,6061.638333333333,0.043333333333333335,0.0,0.0,85.0,6040.0,55.7,2.07,14.65,-0.11,-0.47,-0.21,0.57,0.7883333333333334,4.073333333333333,4.94,2.3816666666666664,2.76,3.1,3.28,4.001666666666666,2.4233333333333333,1.4416666666666667,2.315,2.14,0.0,0.0,69.0,7.0,88.5,8.0
1,0.0,1.1,1.5,-17.718888888888888,7.0,374.6,10.0,5.417777777777777,6.417777777777777,-0.3788888888888889,514.0,5.0,15.996666666666666,1.0,376.0,6.08,6022.752222222222,0.04555555555555556,0.0,0.0,85.0,5997.517777777778,55.7,2.1344444444444446,16.23,0.2711111111111111,-0.41,-0.21,0.6211111111111111,0.9466666666666667,4.67,5.0633333333333335,2.5844444444444448,2.783333333333333,3.0766666666666667,3.267777777777778,4.956666666666667,2.7377777777777776,1.6744444444444444,2.5733333333333333,2.18,0.0,0.0,69.0,7.0,88.5,8.0
2,0.0,1.1,1.5,-17.62272727272727,7.0,374.59363636363645,10.0,6.250909090909091,7.069090909090909,-0.33454545454545453,514.0,5.0,15.758181818181818,1.0,376.0,5.992727272727273,5931.795454545455,0.04090909090909091,0.0,0.0,85.0,5917.972727272727,55.7,2.228181818181818,16.067272727272726,1.1454545454545455,0.016363636363636358,-0.21,0.9709090909090908,1.3509090909090908,5.532727272727272,5.859999999999999,2.9227272727272724,2.923636363636364,2.9063636363636363,3.2,6.324545454545454,3.075454545454545,1.7945454545454547,2.911818181818182,2.4072727272727272,0.0,0.0,69.0,7.0,88.5,8.0
3,0.0,1.1,1.5,-17.34888888888889,7.0,374.5444444444445,10.0,7.014444444444445,8.0,-0.41,514.0,5.0,15.534444444444444,1.0,376.0,5.92,5874.982222222222,0.05,0.0,0.0,85.0,5858.764444444444,55.7,2.3944444444444444,15.66888888888889,1.9555555555555553,0.6333333333333333,-0.21,1.4877777777777779,1.8066666666666664,6.3966666666666665,6.732222222222223,3.272222222222222,3.0344444444444445,2.703333333333333,3.203333333333333,7.584444444444445,3.2588888888888885,1.8888888888888888,3.1866666666666665,2.6033333333333335,0.0,0.0,69.0,7.0,88.5,8.0
4,0.0,1.1,1.5,-17.214545454545455,7.0,374.5,10.0,7.966363636363636,8.614545454545455,-0.4036363636363637,514.0,5.0,15.5,1.0,376.0,5.84,5837.303636363636,0.045454545454545456,0.0,0.0,85.0,5826.278181818182,55.7,2.727272727272727,15.9,2.7418181818181817,1.39,-0.2227272727272727,2.078181818181818,2.3836363636363633,7.193636363636363,7.576363636363637,3.610909090909091,3.200909090909091,2.748181818181818,3.2709090909090905,8.837272727272726,3.28,2.041818181818182,3.4272727272727277,2.8127272727272725,0.0,0.0,69.0,7.0,88.5,8.0
5,0.0,1.1,1.5,-17.06222222222222,7.0,374.5,10.0,8.86,9.193333333333333,-0.3288888888888889,514.0,5.0,15.5,1.0,376.0,5.84,5800.0,0.03222222222222223,0.0,0.0,85.0,5800.0,55.7,3.2211111111111115,16.334444444444443,3.5077777777777777,2.0855555555555556,-0.2888888888888889,2.598888888888889,2.9122222222222223,7.958888888888889,8.304444444444446,3.894444444444444,3.3644444444444446,2.7444444444444445,3.28,9.727777777777778,3.2977777777777777,2.1522222222222225,3.5388888888888888,2.8544444444444443,0.0,0.0,69.0,7.0,88.5,8.0
6,0.0,1.1,1.5,-17.087272727272726,7.0,374.4636363636364,10.0,9.612727272727271,10.0,-0.31363636363636366,514.0,5.0,15.5,1.0,376.0,5.84,5791.37909090909,0.049090909090909095,0.0,0.0,85.0,5793.578181818182,55.7,3.83,16.95909090909091,4.13,2.673636363636364,-0.28818181818181815,3.011818181818182,3.3354545454545454,8.592727272727272,9.010909090909092,4.21,3.458181818181818,2.6636363636363636,3.2936363636363635,10.514545454545454,3.4618181818181815,2.3163636363636364,3.649090909090909,2.9345454545454546,0.0,0.0,69.0,7.0,88.5,8.0
7,0.0,1.1,1.5,-17.14,7.0,374.43666666666667,10.0,10.415555555555555,10.86,-0.4088888888888889,514.0,5.0,15.284444444444444,1.0,376.0,5.84,5758.3533333333335,0.044444444444444446,0.0,0.0,85.0,5760.0,55.7,4.6,17.474444444444444,4.647777777777778,3.1155555555555554,-0.22111111111111112,3.282222222222222,3.6244444444444444,9.193333333333333,9.433333333333334,4.411111111111111,3.558888888888889,2.586666666666667,3.3466666666666667,11.304444444444446,3.7011111111111115,2.482222222222222,3.8855555555555554,3.022222222222222,0.0,0.0,69.0,7.0,88.5,8.0
8,0.0,1.1,1.5,-17.23818181818182,7.0,374.4,10.0,11.43090909090909,11.43090909090909,-0.35454545454545455,514.0,5.0190909090909095,15.25,1.0,376.0,5.68,5760.0,0.04454545454545455,0.0,0.0,85.0,5760.0,55.7,5.663636363636363,18.195454545454545,5.017272727272727,3.472727272727273,-0.21,3.463636363636364,3.8854545454545457,9.729090909090909,9.913636363636364,4.586363636363637,3.7118181818181815,2.58,3.274545454545454,12.140909090909092,3.8981818181818184,2.579090909090909,4.136363636363637,3.122727272727273,0.0,0.0,69.0,7.0,88.5,8.0
9,0.0,1.1,1.5,-17.141111111111112,7.0,374.4,10.0,12.415555555555555,12.0,-0.31,514.0,5.37,15.25,1.0,376.0,5.68,5760.0,0.04555555555555556,0.0,0.0,85.0,5760.0,55.7,6.717777777777778,18.975555555555555,5.358888888888889,3.7977777777777777,-0.21,3.651111111111111,4.137777777777778,10.233333333333333,10.294444444444444,4.751111111111111,3.8077777777777775,2.568888888888889,3.2111111111111112,12.80888888888889,4.137777777777778,2.6666666666666665,4.332222222222223,3.288888888888889,0.0,0.0,69.0,7.0,88.5,8.0
