trip_id,segment_type,hvac_on,start_idx,end_idx,duration_s,mean_current,mean_voltage,max_current,min_current,soc_drop
TripA_TripA01_d1s,driving,False,3,123,120,-11.780460437710438,389.98409175084174,25.077777777777776,-49.94888888888889,0.0
TripA_TripA01_d1s,idle,True,182,212,30,-5.300888888888888,390.10000000000014,-5.2,-5.454545454545454,0.0
TripA_TripA01_d1s,driving,True,271,329,58,-14.18882793451759,388.83555033089516,26.20090909090909,-69.00444444444445,0.5
TripA_TripA01_d1s,driving,True,336,407,71,-12.992132593541044,388.9205534215394,29.99333333333333,-78.99272727272727,1.0
TripA_TripA01_d1s,driving,True,425,456,31,-17.676650374714892,388.1218800912349,4.075555555555556,-64.20636363636363,0.0
TripA_TripA01_d1s,driving,True,464,555,91,-15.135876345876348,388.0906915306916,43.09666666666666,-85.69090909090909,1.0
TripA_TripA01_d1s,driving,True,638,732,94,-12.577071781646248,387.81801740812375,27.13636363636364,-71.38555555555556,0.5
TripA_TripA01_d1s,driving,True,768,803,35,-16.458409812409812,387.0502077922078,23.206666666666667,-84.37181818181817,0.5
TripA_TripA01_d1s,driving,True,868,965,97,-17.879564719358537,386.497766323024,35.75111111111111,-87.21000000000001,1.0
TripA_TripA02_d1s,driving,True,19,71,52,-65.93325757575758,378.14642773892774,63.21666666666667,-255.08,1.5
TripA_TripA02_d1s,driving,False,111,150,39,-15.012520072520068,384.7365889665889,78.35888888888888,-91.49727272727272,0.5
TripA_TripA02_d1s,driving,False,153,199,46,-72.95086078173036,379.53175889328065,36.74111111111111,-284.2855555555555,1.5
TripA_TripA02_d1s,driving,False,204,248,44,-36.63596877869605,381.09269513314973,55.558181818181815,-185.08636363636364,1.0
TripA_TripA02_d1s,driving,False,274,351,77,-43.19460579824216,377.9447094319821,42.142222222222216,-166.82222222222222,2.0
TripA_TripA02_d1s,driving,False,454,494,40,4.272411616161616,385.2403611111111,52.20090909090909,-49.35444444444445,-0.5
TripA_TripA02_d1s,driving,True,500,666,166,-28.593638189120117,381.3193580382135,52.68090909090909,-163.43272727272728,3.0
TripA_TripA02_d1s,driving,True,674,732,58,-32.257507836990605,380.50401079763157,48.57181818181818,-138.23636363636362,1.0
TripA_TripA02_d1s,driving,False,767,822,55,3.3242736455463726,383.5165399449036,86.74888888888889,-101.85363636363635,0.0
TripA_TripA02_d1s,driving,False,862,936,74,-15.235174720174717,382.05646464646463,23.44666666666667,-69.00909090909092,0.5
TripA_TripA02_d1s,driving,False,942,978,36,-9.070695847362513,382.4085129068463,26.44333333333333,-73.87555555555555,0.0
TripA_TripA02_d1s,driving,False,1016,1095,79,-16.766173123641476,381.63585347142305,36.27,-72.34727272727274,1.0
TripA_TripA02_d1s,driving,False,1145,1246,101,-36.6206500650065,378.88081608160815,35.306666666666665,-241.04545454545453,2.0
TripA_TripA02_d1s,driving,False,1285,1364,79,-34.443415164301236,377.6417708732899,107.90888888888888,-211.4909090909091,1.5
TripA_TripA03_d1s,driving,False,12,80,68,-20.889417706476525,388.2581758764112,32.306666666666665,-58.92777777777778,0.0
TripA_TripA03_d1s,driving,False,81,126,45,-21.952457912457913,387.45537149270484,28.272727272727277,-84.91090909090909,0.0
TripA_TripA03_d1s,driving,False,180,326,146,-74.18378511138786,380.4248782343988,51.422222222222224,-233.44545454545457,6.5
TripA_TripA03_d1s,driving,False,338,379,41,-48.96721606306973,380.5646834195615,49.02818181818181,-164.56,1.0
TripA_TripA03_d1s,driving,False,385,601,216,-16.93520903479237,384.1233076131688,54.98555555555556,-128.6233333333333,2.0
TripA_TripA04_d1s,idle,False,1,36,35,-2.310020202020202,386.7248860028861,-1.7777777777777777,-2.9,0.0
TripA_TripA04_d1s,driving,False,36,150,114,-80.45596579833423,375.7716418571681,37.48363636363637,-347.30555555555554,5.5
TripA_TripA04_d1s,driving,False,151,316,165,-56.7546250382614,375.7035573921028,102.27888888888889,-225.03,5.5
TripA_TripA04_d1s,driving,False,317,365,48,-19.33098484848485,377.58275252525254,50.17888888888889,-172.0,0.5
TripA_TripA05_d1s,driving,False,22,72,50,-16.678216161616163,379.8981777777779,32.02181818181818,-67.91454545454545,0.5
TripA_TripA05_d1s,driving,False,88,141,53,-11.234164284352962,380.63221650466926,24.127272727272725,-63.56888888888889,0.5
TripA_TripA05_d1s,driving,False,172,235,63,-12.167575757575758,380.09703864037186,29.77111111111111,-72.60777777777778,0.0
TripA_TripA05_d1s,driving,False,285,319,34,-7.8736096256684505,380.69322341057637,30.651111111111117,-41.92181818181818,0.0
TripA_TripA05_d1s,driving,False,338,369,31,-11.259351580319324,380.0979602476377,26.69333333333333,-49.333333333333336,0.0
TripA_TripA05_d1s,driving,False,412,495,83,-17.811516368504318,379.0050432031154,48.29,-107.97454545454546,1.0
TripA_TripA05_d1s,driving,False,497,550,53,-27.59995997712978,377.1247112635792,87.96454545454546,-226.30454545454543,1.0
TripA_TripA05_d1s,driving,False,565,631,66,-29.134536271809,377.0988047138047,15.549090909090909,-92.9309090909091,1.5
TripA_TripA05_d1s,driving,False,660,696,36,0.1702665544332211,379.33602974186306,66.00333333333333,-32.48222222222223,0.0
TripA_TripA05_d1s,driving,False,698,792,94,-8.502605845690951,379.0669331614014,28.064545454545453,-54.17444444444445,0.5
TripA_TripA05_d1s,driving,False,794,845,51,-7.36294513765102,379.03220241632016,7.479090909090909,-34.86222222222222,0.0
TripA_TripA05_d1s,driving,False,855,905,50,-12.015929292929293,378.18838585858583,36.62636363636364,-55.967777777777776,0.5
TripA_TripA05_d1s,idle,False,909,943,34,-2.1692335115864525,379.4279857397504,-2.1222222222222222,-2.3000000000000003,0.0
TripA_TripA05_d1s,driving,False,943,1041,98,-13.178772418058132,377.6138589981447,62.583333333333336,-72.36818181818182,1.0
TripA_TripA05_d1s,driving,False,1058,1091,33,-26.523789409243953,376.4176308539945,13.517777777777775,-81.92888888888889,0.5
TripA_TripA05_d1s,driving,False,1183,1275,92,-9.778417874396135,377.12241985068067,36.906666666666666,-55.83090909090909,0.5
TripA_TripA05_d1s,driving,False,1276,1362,86,-5.917184637068357,377.3691061780597,24.607777777777777,-62.864444444444445,0.5
TripA_TripA06_d1s,driving,False,22,120,98,-12.138552875695732,389.92228715728726,32.44111111111111,-58.41666666666666,0.5
TripA_TripA06_d1s,driving,True,157,939,782,-19.831306285359993,386.9345396419437,66.10666666666667,-163.62444444444444,9.5
TripA_TripA06_d1s,driving,False,940,1052,112,-23.35968704906205,384.46669733044735,73.86777777777779,-119.43818181818182,0.0
TripA_TripA06_d1s,driving,True,1055,1098,43,5.8950223161851065,387.9556753582335,56.46888888888888,-2.8545454545454545,0.0
TripA_TripA06_d1s,idle,True,1099,1170,71,-2.999724000569071,387.18394793000425,-2.6544444444444446,-3.303333333333333,0.5
TripA_TripA06_d1s,idle,True,1183,1229,46,-2.8648989898989896,387.19431708388237,-2.5381818181818185,-3.353333333333333,0.5
TripA_TripA06_d1s,driving,True,1261,1367,106,-10.48782637697732,386.1555584143319,54.66444444444445,-44.807272727272725,0.5
TripA_TripA06_d1s,driving,True,1368,1407,39,-0.5875835275835275,387.3789225589226,17.336363636363636,-6.25,0.0
TripA_TripA06_d1s,driving,True,1422,1558,136,-6.109067884729649,386.6334937611408,46.70444444444444,-56.03545454545454,0.5
TripA_TripA06_d1s,driving,True,1566,1672,106,-9.103176100628932,386.22296073947024,13.01,-28.349090909090908,0.5
TripA_TripA06_d1s,driving,True,1694,1772,78,-11.779853664853661,385.8250893550894,51.97333333333333,-56.85777777777778,0.5
TripA_TripA06_d1s,driving,True,1774,1829,55,-5.344431588613406,386.3961432506888,25.61,-26.197777777777777,1.0
TripA_TripA06_d1s,driving,True,1842,1987,145,-18.76769766631836,384.57685336119823,90.01272727272728,-70.68222222222222,1.5
TripA_TripA06_d1s,driving,True,1988,2067,79,-17.661838639560155,383.8701623833269,69.74727272727273,-58.79333333333333,1.2000000000000028
